;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;Athleticism Score;Broad Jump;Burst Score;40-Yard Dash;Agility Score;Catch Radius;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Interceptions (2016);Interceptions (2017);Interceptions (2018);Interceptions (2019);Interceptions (2020);Pass Break-ups (2017);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
297;Tanner Muse;S;227 lbs;;;;124,0;120,7;4,41;;;120,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,4;31 1/2;29,1;Josh Jones;Peyton Thompson;Charles Washington;Jalen Thompson;Taylor Mays;Clemson;3.36;2020;9    ;74;Las Vegas Raiders
298;Tarvarius Moore;S;199 lbs;4,2;6,95;99,0;133,0;132,0;4,37;11,15;10,29;109,1;;;4,0;6,0;11,0;;;1,0;0,0;1,0;;;0,0;0,0;1,0;;;0,0;0,0;0,0;;0,0;0,0;0,0;108,2;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;48.0%;67.5%;55.2%;38,5;;;0,6;1,2;1,1;;;2,0;2,0;1,0;;;0,0;0,0;1,0;;;435,0;314,0;600,0;;;14,0;9,0;22,0;;;2,0;1,8;2,2;;;0,0;0,0;1,0;;;18,0;15,0;33,0;;;2,6;3,0;3,3;24,5;33 1/8;26,3;Michael Huff;Chris Culliver;Chris Prosinski;Earl Wolff;Antoine Bethea;S. Mississippi;3.31;2018;9    ;73;San Francisco 49ers
299;Tashaun Gipson;S;206 lbs;4,28;6,83;102,5;122,0;121,4;4,66;11,11;9,93;87,4;11,0;11,0;14,0;18,0;27,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;4,0;1,0;3,0;2,0;0,0;0,0;0,0;0,0;114,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100.0%;;100.0%;97.6%;97.0%;35,5;0,7;0,7;0,9;1,3;2,1;0,0;3,0;6,0;5,0;3,0;0,0;4,0;0,0;1,0;0,0;980,0;0,0;974,0;904,0;868,0;30,0;53,0;41,0;33,0;41,0;2,0;3,3;2,6;2,4;3,2;0,0;4,0;0,0;2,0;0,0;41,0;64,0;55,0;51,0;68,0;2,7;4,0;3,4;3,6;5,2;30,5;;28,7;Isaiah Johnson;Duke Ihenacho;Quincy Mauger;Deon Bush;Rolan Milligan;Virginia;Undrafted;2012;;71;Chicago Bears
300;Tavon Wilson;S;205 lbs;4,16;7,04;99,0;124,0;116,4;4,57;11,2;9,88;94,0;24,0;16,0;5,0;29,0;4,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;34,0;56,0;107,2;5,0;19,0;4,0;2,0;0,0;5,0;2,0;1,0;1,0;0,0;78.6%;;46.8%;77.5%;30.8%;32,0;1,6;1,6;0,5;1,8;0,7;0,0;1,0;0,0;4,0;1,0;2,0;2,0;2,0;1,0;1,0;707,0;0,0;611,0;1097,0;390,0;63,0;39,0;27,0;60,0;10,0;4,2;3,9;2,5;3,8;1,7;3,0;3,0;2,0;1,0;2,0;87,0;55,0;32,0;89,0;14,0;5,8;5,5;2,9;5,6;2,3;30,9;;27,8;Bacarri Rambo;Antonio Allen;Calvin Pryor;Dean Marlowe;Antone Exum;Illinois;2.16;2012;;72;Indianapolis Colts
301;Taylor Mays;S;230 lbs;4,24;6,98;108,4;125,0;132,2;4,31;11,22;10,48;133,3;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;143,3;0,0;;;;;0,0;0,0;;;;;;;;;41,0;;;;;;0,0;;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;33,0;34    ;28,7;Josh Jones;Obi Melifonwu;Tank Williams;Jaquiski Tartt;Maurice Alexander;Southern California;2.17;2010;10 1/4;75;
302;Taylor Rapp;S;208 lbs;3,99;6,82;98,1;115,0;117,0;4,83;10,81;9,98;76,4;;;;48,0;12,0;;;;0,0;1,0;;;;1,0;0,0;;;;2,0;1,0;;;0,0;0,0;108,5;;;;0,0;0,0;;;;0,0;0,0;;;;84.3%;65.3%;35,0;;;;3,2;1,3;;;;6,0;2,0;;;;1,0;0,0;;;;989,0;559,0;;;;51,0;28,0;;;;3,4;3,1;;;;2,0;0,0;;;;99,0;40,0;;;;6,6;4,4;23,1;30 3/4;28,2;Jairus Byrd;Kyzir White;Andrew Sendejo;Sharrod Neasman;Kendrick Lewis;Washington;2.29;2019;9    ;72;Los Angeles Rams
303;Tedric Thompson;S;204 lbs;4,36;7,11;97,3;117,0;113,8;4,6;11,47;9,79;91,1;0,0;0,0;15,0;8,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;0,0;8,0;34,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;83.4%;100.0%;25.8%;32,5;;0,0;1,2;1,3;0,4;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;771,0;388,0;341,0;0,0;0,0;36,0;10,0;9,0;;0,0;2,8;1,7;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51,0;18,0;11,0;;0,0;3,9;3,0;2,2;26,0;31 1/2;27,7;Corey Moore;Ha Ha Clinton-Dix;Tre Boston;Fish Smithson;Andrew Adams;Colorado;4.04;2017;9 5/8;72;Kansas City Chiefs
304;Terrell Burgess;S;202 lbs;;;;122,0;118,0;4,46;;;102,1;;;;;1,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;;;;;;0,0;;;;;0,0;;;;;21.6%;33,5;;;;;0,3;;;;;0,0;;;;;0,0;;;;;185,0;;;;;4,0;;;;;1,3;;;;;0,0;;;;;5,0;;;;;1,7;22,2;29 1/2;28,2;Minkah Fitzpatrick;Patrick Chung;Johnathan Abram;Matt Elam;Reggie Nelson;Utah;3.40;2020;9 1/4;71;Los Angeles Rams
305;Terrell Edmunds;S;217 lbs;;;;134,0;137,6;4,47;;;108,7;;0,0;25,0;44,0;25,0;;0,0;0,0;0,0;0,0;;0,0;1,0;0,0;0,0;;0,0;1,0;1,0;2,0;1,0;0,0;0,0;0,0;;;0,0;9,0;0,0;11,0;;0,0;1,0;0,0;1,0;;87.1%;97.6%;100.0%;87.4%;41,5;;0,0;1,6;2,8;1,8;;0,0;3,0;4,0;6,0;;0,0;0,0;1,0;0,0;;85,0;990,0;1031,0;870,0;;0,0;47,0;59,0;40,0;;0,0;2,9;3,7;2,9;;0,0;0,0;1,0;0,0;;0,0;72,0;103,0;65,0;;0,0;4,5;6,4;4,6;24,0;32 3/4;29,4;Eric Reid;Will Blackmon;Earl Wolff;Gerald Sensabaugh;Eric Berry;Virginia Tech;1.28;2018;10 1/2;72;Pittsburgh Steelers
306;Terrell Williams;S;213 lbs;4,31;7,1;94,9;124,0;123,2;4,61;11,41;10,15;94,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,6;33 1/2;25,9;Jarrod Wilson;Orion Stewart;Clayton Geathers;Antonio Allen;Brynden Trawick;Houston;Undrafted;2018;9 1/4;76;
307;Terrence Brooks;S;198 lbs;4,56;7,35;98,3;118,0;123,6;4,42;11,91;9,86;103,8;0,0;2,0;0,0;7,0;8,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;2,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;97,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3.0%;;34.2%;37.9%;36.9%;38,0;0,0;0,3;0,0;0,7;1,0;0,0;1,0;1,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;5,0;0,0;202,0;609,0;450,0;0,0;5,0;4,0;14,0;10,0;0,0;0,8;1,3;1,4;1,3;0,0;0,0;1,0;0,0;0,0;0,0;7,0;4,0;21,0;18,0;0,0;1,2;1,3;2,1;2,3;28,9;31    ;27,6;Robenson Therezie;Antoine Bethea;Darrell Stuckey;Reggie Nelson;Rashad Johnson;Florida State;3.15;2014;9    ;71;New England Patriots
308;Tim Scott;S;185 lbs;4,12;6,87;97,2;116,0;115,0;4,61;10,99;9,84;81,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,0;29 3/4;26,5;Don Carey;Ricardo Allen;Kurt Coleman;Jordan Poyer;Jordan Simone;North Carolina;Undrafted;2015;9 1/8;70;
309;Tony Jefferson;S;213 lbs;4,21;7,27;;;;4,75;11,48;;83,7;22,0;24,0;23,0;10,0;;2,0;0,0;1,0;0,0;;2,0;0,0;1,0;0,0;;0,0;1,0;1,0;0,0;;0,0;0,0;0,0;;;15,0;18,0;7,0;0,0;;15,0;2,5;1,0;0,0;;100.0%;;100.0%;100.0%;;;1,6;1,5;1,6;2,0;;0,0;1,0;5,0;2,0;;10,0;3,0;2,0;0,0;;929,0;0,0;849,0;279,0;;70,0;53,0;51,0;12,0;;5,0;3,3;3,6;2,4;;10,0;5,0;5,0;0,0;;92,0;77,0;74,0;22,0;;6,6;4,8;5,3;4,4;;29,0;31 4/7;29,7;Stefan McClure;Kenny Ladler;Bradley McDougald;Duke Ihenacho;Quincy Mauger;Oklahoma;Undrafted;2013;9 1/4;71;
310;Tracy Walker;S;186 lbs;4,28;7,0;95,1;119,0;115,6;4,51;11,28;9,82;89,9;;;1,0;25,0;19,0;;;0,0;1,0;0,0;;;0,0;0,0;0,0;;;1,0;1,0;0,0;;0,0;13,0;34,0;99,6;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;32.8%;92.5%;66.9%;33,0;;;0,1;1,9;1,5;;;1,0;7,0;4,0;;;0,0;4,0;2,0;;;653,0;920,0;875,0;;;13,0;75,0;42,0;;;1,2;5,8;3,2;;;0,0;4,0;2,0;;;14,0;100,0;61,0;;;1,3;7,7;4,7;26,0;30 1/8;25,9;Charlie Miller;Dymonte Thomas;Marqueston Huff;Jordan Poyer;Kurt Coleman;LA Lafayette;3.18;2018;8 3/4;71;Detroit Lions
311;Trae Elston;S;195 lbs;4,5;7,34;;119,0;118,2;4,55;11,84;9,65;91,0;0,0;7,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;1,0;;;;0,0;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;34,5;;1,8;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;8,0;;;;;2,0;;;;0,0;0,0;;;;0,0;15,0;;;;;3,8;;;;27,0;29 1/8;27,2;Glover Quin;Fish Smithson;Dymonte Thomas;DeAndre Houston-Carson;2016;Mississippi;Undrafted;8 3/4;71;;
312;Tray Matthews;S;213 lbs;4,41;7,06;100,7;121,0;120,9;4,61;11,47;9,98;94,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,3;33 1/8;28,1;Jarrod Wilson;Jamal Carter;Adrian Phillips;Rickey Jefferson;Tre Boston;Auburn;Undrafted;2018;8 1/4;73;
313;Trayvon Henderson;S;208 lbs;4,15;6,88;100,4;124,0;129,2;4,63;11,03;10,16;90,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,5;31 1/4;28,2;Miles Killebrew;Jordan Dangerfield;Quincy Mauger;Kenny Vaccaro;Orion Stewart;Hawaii;Undrafted;2018;9 1/8;72;Cincinnati Bengals
314;Tre Boston;S;204 lbs;4,31;7,04;97,2;115,0;117,0;4,59;11,35;9,95;91,9;14,0;33,0;23,0;17,0;30,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;2,0;2,0;5,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0;106,5;19,0;0,0;0,0;0,0;0,0;19,0;0,0;0,0;0,0;0,0;86.1%;;99.5%;100.0%;94.7%;35,0;0,9;2,1;1,6;1,1;2,1;0,0;3,0;6,0;8,0;2,0;2,0;0,0;1,0;1,0;1,0;842,0;0,0;955,0;981,0;894,0;38,0;45,0;60,0;52,0;48,0;2,5;2,8;4,3;3,5;3,4;3,0;1,0;1,0;1,0;2,0;52,0;78,0;83,0;69,0;78,0;3,5;4,9;5,9;4,6;5,6;28,6;31 3/8;26,9;Antonio Allen;Andrew Adams;Ha Ha Clinton-Dix;Calvin Pryor;Demetrious Cox;North Carolina;4.28;2014;9 3/4;73;Carolina Panthers
315;Tre Sullivan;S;200 lbs;4,14;7,01;96,8;118,0;114,3;4,66;11,15;9,83;84,8;0,0;0,0;3,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;;;106,0;0,0;;0,0;;;0,0;0,0;0,0;;;;;33.6%;;;32,5;;;0,3;;;0,0;;0,0;;;0,0;0,0;0,0;;;0,0;0,0;572,0;;;0,0;0,0;9,0;;;;;1,0;;;0,0;0,0;0,0;;;0,0;0,0;12,0;;;;;1,3;;;27,3;30    ;27,1;Phillip Thomas;Rolan Milligan;Jadar Johnson;Don Carey;Derron Smith;Shepherd;Undrafted;2017;9    ;72;
316;Trey Marshall;S;205 lbs;4,26;7,08;101,1;125,0;124,6;4,59;11,34;9,98;92,4;;;;6,0;0,0;;;;1,0;0,0;;;;2,0;0,0;;;;0,0;0,0;;;0,0;0,0;105,5;;;;0,0;0,0;;;;0,0;0,0;;;;37.2%;0.0%;36,5;;;;1,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;368,0;65,0;;;;13,0;0,0;;;;2,2;0,0;;;;0,0;0,0;;;;19,0;0,0;;;;3,2;0,0;25,0;32 3/8;28,6;Mykkele Thompson;Duron Harmon;Rontez Miles;Demetrious Cox;Malik Golden;Florida State;Undrafted;2018;9 1/2;71;Denver Broncos
317;Troy Apke;S;200 lbs;4,03;6,56;103,6;131,0;135,2;4,34;10,59;10,52;112,7;;;;2,0;8,0;;;;0,0;0,0;;;;0,0;0,0;;;;1,0;0,0;;;0,0;0,0;131,0;;;;0,0;0,0;;;;0,0;0,0;;;;69.5%;87.1%;41,0;;;;0,5;1,0;;;;1,0;2,0;;;;0,0;0,0;;;;259,0;502,0;;;;13,0;23,0;;;;3,3;2,9;;;;2,0;0,0;;;;15,0;31,0;;;;3,8;3,9;25,8;32 3/8;26,4;Chris Culliver;Michael Huff;Colin Jones;Sean Davis;T.J. Green;Penn State;4.09;2018;8 3/8;73;Washington
318;Tyree Kinnel;S;207 lbs;4,14;6,78;101,2;117,0;117,2;4,56;10,92;9,98;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,0;30 5/8;28,9;Micah Hyde;Rahim Moore;Chuck Clark;Ibraheim Campbell;Jamal Adams;Michigan;Undrafted;2019;9 1/8;71;
319;Tyson Graham;S;208 lbs;4,3;7,21;96,9;122,0;114,6;4,61;11,51;9,78;92,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,1;31 1/4;27,4;Corey Moore;Tedric Thompson;Adrian Phillips;Tre Boston;Ha Ha Clinton-Dix;South Dakota;Undrafted;2017;9 1/8;73;
320;Tyvis Powell;S;211 lbs;4,25;7,03;98,6;120,0;118,7;4,46;11,28;10,09;106,7;0,0;1,0;0,0;;;0,0;0,0;1,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;;;109,8;0,0;0,0;0,0;;;0,0;0,0;0,0;;;;;65.0%;;;34,5;;1,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;120,0;;;0,0;2,0;5,0;;;;2,0;2,5;;;0,0;0,0;0,0;;;0,0;3,0;5,0;;;;3,0;2,5;;;27,0;32 3/4;27,1;Shawn Williams;Delano Hill;Montae Nicholson;Nate Allen;Kelcie McCray;Ohio State;Undrafted;2016;9 1/2;74;
321;Ugo Amadi;S;199 lbs;4,19;7,21;103,3;115,0;112,8;4,51;11,4;9,77;96,2;;;;;;;;;;;;;;;;;;;0,0;0,0;;;0,0;6,0;110,1;;;;;;;;;;;;;;7.1%;45.6%;32,5;;;;;;;;;;;;;;;;;;;66,0;448,0;;;;;;;;;;;;;;;;;;;;;;;;;;23,8;31 3/4;29,4;E.J. Gaines;Arrion Springs;Taron Johnson;Rashad Fenton;Deandre Baker;Oregon;4.30;2019;9 1/2;69;Seattle Seahawks
322;Vinnie Sunseri;S;210 lbs;;;;;;4,61;;;93,0;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;;0,0;;;;;0,0;0,0;;;;15.2%;;;;;;0,0;;;;;0,0;;;;;0,0;0,0;;;;10,0;0,0;;;;2,0;0,0;;;;2,0;;;;;0,0;0,0;;;;2,0;0,0;;;;2,0;;;;;27,4;30    ;29,3;Bacarri Rambo;Johnathan Cyprien;Adrian Amos;J.J. Wilcox;K.J. Dillon;Alabama;5.27;2014;10    ;71;
323;Vonn Bell;S;199 lbs;;;;;;4,58;;;90,5;31,0;22,0;31,0;26,0;46,0;2,0;2,0;1,0;2,0;2,0;1,0;0,0;1,0;5,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;;16,0;31,0;9,0;17,0;0,0;16,0;4,5;1,0;1,5;0,0;94.0%;;76.4%;100.0%;96.4%;30,5;2,1;1,5;1,9;2,0;3,3;0,0;2,0;4,0;5,0;5,0;0,0;1,0;3,0;3,0;2,0;889,0;0,0;984,0;823,0;900,0;52,0;56,0;55,0;59,0;55,0;3,5;3,7;3,4;4,5;3,9;1,0;2,0;3,0;4,0;3,0;83,0;78,0;86,0;85,0;101,0;5,5;5,2;5,4;6,5;7,2;26,1;32 3/8;28,6;Kurt Coleman;Jimmie Ward;Malik Golden;Marqui Christian;Colt Anderson;Ohio State;2.30;2016;9 1/2;70;Cincinnati Bengals
324;Walt Aikens;S;203 lbs;4,42;7,12;96,1;118,0;118,5;4,54;11,54;9,94;95,6;;;;5,0;;;;;0,0;;;;;0,0;;;0,0;0,0;0,0;;0,0;0,0;0,0;;97,5;;;;0,0;;;;;0,0;;;1.6%;2.2%;35.3%;;35,0;;;;1,3;;;;;0,0;;;;;0,0;;;12,0;14,0;255,0;;;;;8,0;;;;;2,0;;;;;0,0;;;;;13,0;;;;;3,3;;29,6;32 1/4;26,8;Adrian Colbert;Raven Greene;Robert Golden;James Sample;Matthias Farley;Liberty;4.25;2014;9    ;73;
325;Will Blackmon;S;212 lbs;;6,67;;133,0;136,2;4,49;;;104,3;19,0;0,0;;;;1,0;0,0;;;;0,0;0,0;;;;1,0;0,0;;;;;;;;;4,0;0,0;;;;4,0;0,0;;;;61.5%;;;;;41,0;1,5;;;;;0,0;0,0;;;;0,0;0,0;;;;515,0;0,0;;;;20,0;0,0;;;;1,5;;;;;0,0;0,0;;;;39,0;0,0;;;;3,0;;;;;36,3;31    ;28,7;Eric Reid;Earl Wolff;Ryan Murphy;Doug Middleton;Marwin Evans;Boston College;4.17;2006;9 1/8;72;
326;Will Harris;S;207 lbs;4,12;6,91;102,3;123,0;123,6;4,41;11,03;10,17;109,5;;;;12,0;8,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;0,0;0,0;126,4;;;;11,0;0,0;;;;1,0;0,0;;;;72.1%;33.7%;36,5;;;;1,0;0,8;;;;3,0;0,0;;;;0,0;0,0;;;;813,0;638,0;;;;24,0;22,0;;;;2,0;2,2;;;;0,0;0,0;;;;36,0;30,0;;;;3,0;3,0;25,1;31 1/4;27,3;Dane Cruikshank;Justin Reid;Chris Culliver;Colin Jones;Natrell Jamerson;Boston College;3.17;2019;9    ;73;Detroit Lions
327;Will Parks;S;204 lbs;4,45;7,02;96,7;113,0;110,1;4,68;11,47;9,68;85,1;5,0;16,0;17,0;6,0;2,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;100,1;0,0;0,0;0,0;7,0;16,0;0,0;0,0;0,0;1,0;1,0;28.1%;;62.2%;71.7%;33.1%;31,5;0,4;1,1;1,3;0,6;0,3;0,0;3,0;2,0;1,0;0,0;1,0;2,0;0,0;0,0;2,0;226,0;0,0;830,0;637,0;459,0;12,0;31,0;21,0;24,0;18,0;1,0;2,1;1,6;2,4;2,6;1,0;2,0;0,0;0,0;2,0;17,0;47,0;38,0;30,0;20,0;1,4;3,1;2,9;3,0;2,9;26,5;30 5/8;27,7;Maurice Smith;Damarius Travis;Darian Thompson;Phillip Thomas;Kendrick Lewis;Arizona;6.44;2016;9 3/8;72;Philadelphia Eagles
328;Winston Guy;S;218 lbs;4,29;6,79;;115,0;118,7;4,62;11,08;10,1;95,7;1,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;;0,0;;;;;0,0;0,0;;;;56.9%;;;;;36,0;0,5;;;;;0,0;;;;;0,0;0,0;;;;74,0;0,0;;;;3,0;0,0;;;;1,5;;;;;0,0;0,0;;;;4,0;0,0;;;;2,0;;;;;30,8;33    ;28,8;Rickey Jefferson;Jamal Carter;Isaiah N. Johnson;Jarrod Wilson;Antone Exum;Kentucky;6.11;2012;9    ;73;
329;Xavier McKinney;S;201 lbs;;;;122,0;122,2;4,63;;;87,5;;;;;5,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;;;;;;0,0;;;;;0,0;;;;;26.8%;36,0;;;;;2,5;;;;;0,0;;;;;0,0;;;;;142,0;;;;;3,0;;;;;1,5;;;;;0,0;;;;;8,0;;;;;4,0;;30 7/8;27,3;Tavon Wilson;Deon Bush;Andrew Wingard;Rontez Miles;Rickey Jefferson;Alabama;2.04;2020;8 5/8;72;New York Giants
330;Xavier Woods;S;202 lbs;4,13;6,72;101,5;122,0;118,0;4,54;10,85;9,96;95,1;0,0;12,0;17,0;24,0;27,0;0,0;0,0;1,0;2,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;1,0;2,0;2,0;0,0;0,0;0,0;34,0;60,0;114,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;100.0%;100.0%;95.1%;33,5;;0,9;1,2;1,6;1,9;0,0;3,0;7,0;2,0;1,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;854,0;951,0;936,0;0,0;28,0;37,0;51,0;42,0;;2,0;2,6;3,4;3,0;0,0;1,0;0,0;2,0;1,0;0,0;40,0;54,0;75,0;69,0;;2,9;3,9;5,0;4,9;25,5;30 3/8;28,2;Rahim Moore;Ibraheim Campbell;L.J. McCray;Eric Weddle;Colt Anderson;Louisiana Tech;6.07;2017;9 3/8;71;Dallas Cowboys
331;Zedrick Woods;S;205 lbs;4,15;7,0;104,5;122,0;119,7;4,29;11,15;10,06;121,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,5;31 5/8;28,6;Antoine Bethea;Robenson Therezie;Chris Culliver;Natrell Jamerson;Ron Parker;Mississippi;Undrafted;2019;9 1/8;71;
332;Ashtyn Davis;;;;;;;;;;;;;;;;12,0;;;;;0,0;;;;;1,0;;;;;0,0;;;;0,0;;;;;;0,0;;;;;0,0;;;;;62.4%;;;;;;1,3;;;;;1,0;;;;;0,0;;;;;644,0;;;;;23,0;;;;;2,6;;;;;0,0;;;;;35,0;;;;;3,9;24,3;30 1/2;26,6;J.R. Reed;Jaylinn Hawkins;Josh Metellus;Kamren Curl;Malik Golden;California;3.04;2020;9 3/8;73;New York Jets
333;Brandon Jones;;;;;;;;;;;;;;;;25,0;;;;;1,0;;;;;0,0;;;;;0,0;;;;0,0;;;;;;9,0;;;;;1,0;;;;;38.7%;;;;;;1,8;;;;;0,0;;;;;2,0;;;;;873,0;;;;;31,0;;;;;2,2;;;;;2,0;;;;;56,0;;;;;4,0;22,8;30 1/8;27,6;Vonn Bell;Mike Edwards;J.R. Reed;Jaylinn Hawkins;Kamren Curl;Texas;3.06;2020;8 3/4;71;Miami Dolphins
334;Corey Graham;;;;;;;;;;;;32,0;6,0;15,0;;;0,0;0,0;0,0;;;1,0;0,0;0,0;;;1,0;2,0;2,0;;;0,0;0,0;;;;9,0;0,0;0,0;;;9,0;0,0;0,0;;;100.0%;;86.0%;;;;2,0;0,5;1,3;;;0,0;2,0;4,0;;;0,0;1,0;0,0;;;1051,0;0,0;758,0;;;51,0;26,0;38,0;;;3,2;2,4;3,2;;;1,0;1,0;1,0;;;83,0;32,0;53,0;;;5,2;2,9;4,4;;;35,5;;26,4;Keith Tandy;Vonn Bell;Malik Golden;Mykkele Thompson;Isa Abdul-Quddus;New Hampshire;5.31;2007;;72;
