;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;Athleticism Score;Broad Jump;Burst Score;40-Yard Dash;Agility Score;Catch Radius;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Interceptions (2016);Interceptions (2017);Interceptions (2018);Interceptions (2019);Interceptions (2020);Pass Break-ups (2017);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
287;Shiloh Keo;S;219 lbs;3,9;6,55;104,2;110,0;110,3;4,74;10,45;9,97;86,8;0,0;0,0;;;;0,0;0,0;;;;3,0;0,0;;;;0,0;0,0;;;;0,0;;;;126,0;0,0;;;;;0,0;0,0;;;;1.5%;;;;;32,5;0,0;;;;;0,0;;;;;0,0;0,0;;;;3,0;0,0;;;;1,0;0,0;;;;0,3;;;;;0,0;0,0;;;;1,0;0,0;;;;0,3;;;;;33,1;30    ;30,5;Jordan Richards;Jarrod Harper;Duke Ihenacho;Daimion Stafford;Isaiah N. Johnson;Idaho;5.13;2011;9 1/2;71;
288;Stefan McClure;S;205 lbs;4,17;6,9;102,3;119,0;124,1;4,71;11,07;10,03;83,3;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;108,8;0,0;0,0;;;;0,0;0,0;;;;;;;;;38,0;;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;1,0;;;;;0,5;;;;0,0;0,0;;;;0,0;1,0;;;;;0,5;;;;28,0;32 3/8;29,4;Tony Jefferson;Sharrod Neasman;Quincy Mauger;D.J. Swearinger;Phillip Thomas;California;Undrafted;2016;9 1/4;70;
289;Stephen Roberts;S;186 lbs;4,31;7,25;;121,0;118,3;4,53;11,56;9,85;88,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;31 3/8;25,2;Andre Hal;Charlie Miller;Marqueston Huff;Dymonte Thomas;Trae Elston;Auburn;Undrafted;2018;8 7/8;72;
290;Steven Parker;S;203 lbs;4,33;6,83;96,5;126,0;125,1;4,63;11,16;10,1;88,3;;;;5,0;2,0;;;;0,0;0,0;;;;0,0;0,0;;;;2,0;0,0;;;0,0;0,0;93,3;;;;0,0;0,0;;;;0,0;0,0;;;;56.4%;33.0%;36,5;;;;0,6;0,7;;;;1,0;0,0;;;;0,0;0,0;;;;527,0;194,0;;;;14,0;3,0;;;;1,8;1,0;;;;0,0;0,0;;;;19,0;5,0;;;;2,4;1,7;25,1;33 1/4;26,8;Orion Stewart;Rontez Miles;Deon Bush;Quincy Mauger;Vinnie Sunseri;Oklahoma;Undrafted;2018;9 1/2;73;Cincinnati Bengals
291;Steven Terrell;S;197 lbs;4,22;6,84;104,6;130,0;130,5;4,39;11,06;10,09;106,1;10,0;1,0;;;;0,0;0,0;;;;1,0;0,0;;;;0,0;1,0;;;;0,0;;;;118,3;0,0;0,0;;;;0,0;0,0;;;;90.4%;;;;;38,5;1,4;0,5;;;;0,0;2,0;;;;0,0;0,0;;;;378,0;0,0;;;;13,0;2,0;;;;1,9;1,0;;;;0,0;0,0;;;;23,0;3,0;;;;3,3;1,5;;;;30,4;30 3/8;28,3;Donte Whitner;Chris Culliver;Antoine Bethea;Terrence Brooks;Robenson Therezie;Texas A&M;Undrafted;2013;8 1/2;70;
292;Su'a Cravens;S;226 lbs;4,24;6,94;99,3;114,0;102,9;4,71;11,18;9,67;91,8;14,0;0,0;5,0;;;0,0;0,0;0,0;;;0,0;0,0;1,0;;;1,0;0,0;0,0;;;;0,0;;;95,3;4,0;0,0;0,0;;;1,0;0,0;0,0;;;41.0%;;34.4%;;;27,0;1,3;;1,0;;;0,0;0,0;0,0;;;2,0;0,0;1,0;;;298,0;0,0;340,0;;;19,0;0,0;10,0;;;1,7;;2,0;;;3,0;0,0;1,0;;;33,0;0,0;15,0;;;3,0;;3,0;;;25,6;32 1/8;30,6;Daimion Stafford;Erik Harris;Ronald Martin;Shiloh Keo;Winston Guy;USC;2.22;2016;9 1/2;72;
293;T.J. Green;S;209 lbs;4,41;7,1;99,6;129,0;124,9;4,34;11,51;10,07;117,8;14,0;13,0;;0,0;;0,0;0,0;;0,0;;0,0;0,0;;0,0;;0,0;0,0;;0,0;;0,0;;0,0;;108,6;0,0;0,0;;0,0;;0,0;0,0;;0,0;;50.3%;;;19.2%;;35,5;0,9;1,2;;0,0;;0,0;1,0;;0,0;;0,0;3,0;;0,0;;483,0;0,0;;52,0;;30,0;28,0;;2,0;;2,0;2,5;;2,0;;0,0;3,0;;0,0;;44,0;41,0;;2,0;;2,9;3,7;;2,0;;25,9;32    ;26,8;LaRon Landry;Michael Huff;Chris Culliver;Montae Nicholson;Darrell Stuckey;Clemson;2.26;2016;9 5/8;74;Atlanta Falcons
294;T.J. McDonald;S;219 lbs;4,2;6,89;102,3;131,0;133,5;4,59;11,09;10,35;98,7;14,0;15,0;26,0;;;0,0;0,0;0,0;;;0,0;0,0;1,0;;;2,0;1,0;3,0;;;0,0;0,0;;;120,0;6,0;0,0;0,0;;;6,0;0,0;0,0;;;100.0%;;100.0%;;;40,0;0,9;1,9;1,9;;;0,0;2,0;2,0;;;4,0;2,0;1,0;;;1070,0;0,0;904,0;;;48,0;30,0;57,0;;;3,0;3,8;4,1;;;7,0;2,0;1,0;;;62,0;45,0;83,0;;;3,9;5,6;5,9;;;30,0;33 1/6;27,4;Bernard Pollard;Eric Reid;Miles Killebrew;Ryan Murphy;Jeff Heath;Southern California;3.09;2013;9 1/4;75;
295;T.J. Ward;S;211 lbs;4,12;7,0;103,0;121,0;118,3;4,56;11,12;9,92;97,6;25,0;14,0;;;;2,0;0,0;;;;2,0;1,0;;;;1,0;0,0;;;;0,0;;;;115,7;8,0;0,0;;;;8,0;0,0;;;;100.0%;;;;;34,0;1,8;1,2;;;;0,0;3,0;;;;1,0;1,0;;;;987,0;0,0;;;;62,0;27,0;;;;4,4;2,3;;;;1,0;1,0;;;;87,0;41,0;;;;6,2;3,4;;;;34,1;30 3/4;29,4;Calvin Pryor;Antone Exum;Bacarri Rambo;Jordan Lucas;Kavon Frazier;Oregon;2.06;2010;9 1/4;71;
296;Tank Williams;S;222 lbs;3,93;6,78;105,4;125,0;128,0;4,46;10,71;10,4;112,2;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;134,2;0,0;;;;;0,0;0,0;;;;;;;;;38,5;;;;;;0,0;;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;40,6;;28,5;David Bruton;Harrison Smith;Rayshawn Jenkins;Montae Nicholson;Shawn Williams;Stanford;2.13;2002;;74;
