;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Playmaking Radius;Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Speed Score;Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2014);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
262;McTelvin Agim;DL;309 lbs;;;4,98;;;27,0;;;;;;;;5,0;;;;;1,0;;;;;0,0;;;;;0,0;;;;;;0,0;;;;;;0,0;100,5;;;;;;0,8;;;0,0;;;;;0,0;;;;;;21.8%;;;;;403,0;;;;;3,0;;;;;0,5;;;;;0,0;;;;;8,0;;;;;1,3;23,4;33 1/2;38,6;Array;Arkansas;3.31;2020;9 3/4;75;Denver Broncos;;;;
263;Mehdi Abdesmad;DL;284 lbs;4,62;7,55;5,1;12,17;93,8;25,0;108,0;104,2;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,14;0,0;0,0;;;;101,4;0,0;0,0;;;;84,0;29,5;0,0;;;;;;;;0,0;0,0;;;;;28.1%;;;;;16,0;0,0;;;;1,0;0,0;;;;1,0;;;;;0,0;0,0;;;;1,0;0,0;;;;1,0;;;;;29,4;33 3/8;32,8;Isaac Rochell;Joel Heath;Josh Mauro;Mitch Unrein;Channing Ward;Boston College;Undrafted;2016;9 3/4;78;
264;Michael Brockers;DL;322 lbs;4,81;7,46;5,31;12,27;96,0;21,0;105,0;97,6;83,2;6,0;25,0;28,0;31,0;29,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;9,92;1,0;4,0;5,0;4,0;1,0;88,7;0,0;20,0;3,0;26,0;35,0;81,0;26,5;0,5;1,7;1,8;1,9;2,1;0,0;0,0;0,0;0,0;4,0;1,0;3,0;5,0;;46.1%;72.3%;70.6%;73.7%;60.6%;373,0;693,0;962,0;1057,0;880,0;13,0;29,0;27,0;31,0;18,0;1,1;1,9;1,7;1,9;1,3;1,0;4,0;5,0;4,0;1,0;19,0;54,0;55,0;62,0;47,0;1,6;3,6;3,4;3,9;3,4;30,1;35    ;38,2;Jaleel Johnson;Johnathan Hankins;Domata Peko;Lavon Hooks;DaQuan Jones;LSU;1.14;2012;9 1/8;77;Los Angeles Rams
265;Michael Dogbe;DL;284 lbs;4,62;7,49;5,07;12,11;;34,0;110,0;;;;;;1,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;;1,0;0,0;;;;;0,0;3,0;86,0;;;;;0,2;0,0;;0,0;0,0;;;;0,0;1,0;;;;;19.3%;38.7%;;;;337,0;62,0;;;;4,0;1,0;;;;0,8;1,0;;;;1,0;0,0;;;;5,0;1,0;;;;1,0;1,0;24,7;33 1/2;35,5;Matt Dickerson;Mike Bennett;Taniela Tupou;Kerry Hyder;Casey Sayles;Temple;7.35;2019;9 1/8;75;Arizona Cardinals
266;Michael Pierce;DL;329 lbs;;;5,06;;;28,0;115,0;103,4;;18,0;17,0;13,0;20,0;;0,0;0,0;1,0;1,0;;0,0;0,0;0,0;0,0;;0,0;2,0;1,0;1,0;;;6,0;2,0;4,0;4,0;;;9,0;5,0;0,0;7,0;;100,4;27,0;1,4;1,1;1,0;1,5;;0,0;0,0;;2,0;1,0;0,0;0,5;;;37.6%;58.5%;47.8%;64.8%;;307,0;582,0;781,0;750,0;;17,0;32,0;19,0;16,0;;1,3;2,1;1,5;1,2;;6,0;2,0;5,0;4,0;;35,0;49,0;32,0;36,0;;2,7;3,3;2,5;2,8;;28,2;30 1/2;44,6;Nile Lawrence-Stample;D.J. Jones;Robert Thomas;Malcolm Brown;B.J. Raji;Samford;Undrafted;2016;9 5/8;72;Minnesota Vikings
267;Mike Bennett;DL;293 lbs;;;5,09;;;;;;;0,0;0,0;2,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;;0,0;0,0;1,0;;;;0,0;0,0;0,0;;;87,3;33,5;;0,0;1,0;;;0,0;;;0,0;0,0;0,0;;;;;28.1%;32.0%;;;0,0;18,0;122,0;;;0,0;1,0;3,0;;;;1,0;1,5;;;0,0;0,0;1,0;;;0,0;1,0;5,0;;;;1,0;2,5;;;27,9;33 5/8;37,6;DeShawn Williams;Treyvon Hester;Devaroe Lawrence;Shakir Soto;Ohio State;6.04;2015;10 1/4;74;;
268;Mike Daniels;DL;291 lbs;;;4,84;;;;;;;11,0;19,0;7,0;4,0;9,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;;3,0;5,0;0,0;0,0;1,0;;41,0;51,0;10,0;3,0;0,0;106,1;;0,7;1,6;1,0;0,8;1,3;0,0;0,0;0,0;4,0;5,0;2,0;1,0;0,0;;66.7%;74.7%;65.2%;40.8%;46.6%;619,0;578,0;446,0;346,0;436,0;22,0;27,0;9,0;5,0;5,0;1,5;2,3;1,3;1,0;0,7;3,0;5,0;0,0;2,0;1,0;33,0;46,0;16,0;9,0;14,0;2,2;3,8;2,3;1,8;2,0;31,8;32 1/2;38,4;Dominique Easley;Jonathan Babineaux;Earl Mitchell;Sharrif Floyd;Tyrunn Walker;Iowa;4.37;2012;9 5/8;73;Cincinnati Bengals
269;Mike Love;DL;255 lbs;4,52;7,28;;11,8;;24,0;121,0;120,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,0;32 7/8;31,9;Olivier Vernon;Yannick Ngakoue;Kyler Fackrell;Brandon Copeland;Geneo Grissom;South Florida;Undrafted;2018;10 3/8;75;Buffalo Bills
270;Mike Pennel;DL;332 lbs;4,84;7,94;5,23;12,78;99,2;23,0;101,0;99,0;;2,0;16,0;14,0;11,0;12,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,79;2,0;1,0;0,0;3,0;0,0;96,7;0,0;0,0;0,0;8,0;0,0;88,7;28,5;0,4;1,3;1,1;1,4;1,5;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;21.9%;31.8%;35.5%;30.4%;34.9%;63,0;252,0;853,0;514,0;513,0;4,0;19,0;12,0;13,0;9,0;0,8;1,6;0,9;1,6;1,1;2,0;1,0;0,0;3,0;0,0;6,0;35,0;26,0;24,0;21,0;1,2;2,9;2,0;3,0;2,6;29,7;33 3/8;40,4;Dan Williams;Linval Joseph;D.J. Reader;Montori Hughes;Zach Kerr;CSU - Pueblo;Undrafted;2014;9 7/8;76;Kansas City Chiefs
271;Mike Purcell;DL;305 lbs;4,68;7,59;5,23;12,27;101,4;26,0;116,0;111,6;;13,0;0,0;;24,0;7,0;0,0;0,0;;0,0;0,0;1,0;0,0;;0,0;0,0;0,0;0,0;;0,0;0,0;9,98;1,0;0,0;;9,0;1,0;105,5;0,0;0,0;;0,0;10,0;81,5;31,5;1,4;;;2,0;1,4;;0,0;0,0;0,0;0,0;;0,0;1,0;;39.8%;;;52.1%;62.8%;244,0;0,0;;769,0;339,0;13,0;0,0;;22,0;8,0;1,4;;;1,8;1,6;1,0;0,0;;9,0;1,0;26,0;0,0;;46,0;15,0;2,9;;;3,8;3,0;29,8;32 3/8;38,1;Destiny Vaeao;Ricky Ali'fua;Pasoni Tasini;Tenny Palepoi;Patrick Ricard;Wyoming;Undrafted;2013;9 7/8;75;Denver Broncos
