;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Playmaking Radius;Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Speed Score;Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2014);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
272;Miles Brown;DL;319 lbs;4,78;8,19;5,36;12,97;97,0;24,0;97,0;88,5;;;;;2,0;;;;;0,0;;;;;0,0;;;;;0,0;;9,31;;;;2,0;;90,1;;;;0,0;;77,3;23,5;;;;0,5;;;0,0;;;;;0,0;;;;;;22.1%;;;;;267,0;;;;;2,0;;;;;0,5;;;;;2,0;;;;;4,0;;;;;1,0;;23,4;31 1/2;42,1;P.J. Johnson;Tim Settle;Khairi Clark;Joshua Frazier;Omarius Bryant;Wofford;Undrafted;2019;9 3/8;73;
273;Mitch Unrein;DL;276 lbs;4,49;7,2;4,94;11,69;98,2;26,0;105,0;105,2;;14,0;9,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,32;1,0;2,0;;;;111,0;3,0;2,0;;;;92,7;31,0;1,4;0,8;;;;;;;1,0;1,5;;;;;51.6%;50.5%;;;;325,0;389,0;;;;12,0;23,0;;;;1,2;1,9;;;;1,0;2,0;;;;26,0;32,0;;;;2,6;2,7;;;;33,9;;33,6;Frostee Rucker;Denico Autry;Bobby Richardson;Shelby Harris;Kony Ealy;Wyoming;Undrafted;2010;;76;
274;Mitchell Loewen;DL;275 lbs;;;;;;30,0;;;;0,0;0,0;;0,0;;0,0;0,0;;0,0;;0,0;0,0;;0,0;;0,0;0,0;;0,0;;;0,0;0,0;;0,0;;;0,0;0,0;;0,0;;;;;;;0,0;;;0,0;;0,0;0,0;;0,0;;;;;;18.6%;;0,0;0,0;;59,0;;0,0;0,0;;2,0;;;;;2,0;;0,0;0,0;;0,0;;0,0;0,0;;2,0;;;;;2,0;;28,0;34 1/8;34,4;Steve McLendon;Bobby Richardson;Shelby Harris;Taniela Tupou;Isaac Rochell;Arkansas;Undrafted;2016;9 7/8;75;
275;Montori Hughes;DL;329 lbs;4,7;7,85;5,23;12,55;98,6;22,0;104,0;97,1;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,76;0,0;0,0;;;;95,2;0,0;0,0;;;;87,9;26,5;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;30,4;32 5/8;40,0;A'Shawn Robinson;Grover Stewart;L.J. Walton;DaQuan Jones;Phil Taylor;Tennessee-Martin;5.06;2013;10 1/8;76;
276;Montravius Adams;DL;304 lbs;4,89;7,62;4,87;12,51;100,2;22,0;108,0;103,3;109,5;0,0;1,0;10,0;8,0;6,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;9,98;0,0;0,0;1,0;0,0;2,0;98,2;0,0;0,0;2,0;0,0;0,0;108,1;29,0;;0,5;1,1;0,8;0,9;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;;;14.1%;26.6%;27.5%;29.2%;0,0;18,0;590,0;615,0;425,0;0,0;1,0;9,0;3,0;5,0;;0,5;1,0;0,3;0,7;0,0;0,0;1,0;0,0;2,0;0,0;2,0;19,0;11,0;11,0;;1,0;2,1;1,1;1,6;25,5;32 3/4;37,0;Timmy Jernigan;Matt Ioannidis;Khyri Thornton;Stephon Tuitt;Corey Peters;Auburn;3.29;2017;9 1/4;76;Green Bay Packers
277;Muhammad Wilkerson;DL;315 lbs;4,59;7,31;4,96;11,9;102,5;27,0;106,0;97,2;;27,0;23,0;3,0;;;0,0;0,0;0,0;;;1,0;0,0;0,0;;;0,0;0,0;0,0;;;10,12;4,0;2,0;0,0;;;110,1;29,0;15,0;0,0;;;104,1;26,0;1,8;1,8;1,0;;;0,0;;;4,5;3,5;0,0;;;;89.8%;80.6%;60.5%;;;849,0;679,0;190,0;;;30,0;23,0;3,0;;;2,0;1,8;1,0;;;7,0;2,0;0,0;;;57,0;46,0;6,0;;;3,8;3,5;2,0;;;31,3;35 1/4;38,3;Chris Jones;Marcus Hardison;Lawrence Guy;Kaleb Eulls;Angelo Blackson;Temple;1.30;2011;10    ;76;
278;Myquon Stout;DL;292 lbs;4,51;7,65;5,06;12,16;105,6;28,0;110,0;109,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,9;32 1/4;39,6;Bruce Hector;Tenny Palepoi;Julius Warmsley;Shelby Harris;Ricky Ali'fua;Appalachian State;Undrafted;2019;9 5/8;72;
279;Nathan Shepherd;DL;315 lbs;4,53;7,5;5,09;12,03;;;112,0;108,7;;;;10,0;4,0;7,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;10,13;;;2,0;3,0;1,0;;;;0,0;23,0;14,0;93,9;31,0;;;0,9;0,6;1,0;0,0;0,0;0,0;;;0,0;2,0;1,5;;;;33.8%;43.7%;27.1%;;;715,0;444,0;483,0;;;6,0;7,0;3,0;;;0,5;1,0;0,4;;;2,0;3,0;1,0;;;16,0;11,0;10,0;;;1,5;1,6;1,4;27,3;32 3/8;38,3;Tyeler Davison;Pasoni Tasini;Eddie Vanderdoes;Nick Williams;Angelo Blackson;Fort Hays State;3.08;2018;10 1/8;76;New York Jets
280;Nazair Jones;DL;304 lbs;4,63;7,93;5,11;12,56;92,6;18,0;101,0;92,2;91,5;0,0;10,0;6,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;1,0;0,0;;;9,85;0,0;3,0;1,0;;;85,5;0,0;20,0;0,0;;;89,2;24,5;;1,1;1,0;;;0,0;;;0,0;2,0;0,0;;;;;41.6%;23.8%;;;0,0;244,0;374,0;;;0,0;10,0;2,0;;;;1,1;0,3;;;0,0;3,0;1,0;;;0,0;20,0;8,0;;;;2,2;1,3;;;26,1;34 5/8;36,0;Austin Johnson;Ricky Jean-Francois;Kelcy Quarles;Jarvis Jenkins;Deandre Coleman;North Carolina;3.38;2017;10 7/8;77;
281;Ndamukong Suh;DL;307 lbs;4,44;7,21;5,03;11,65;106,1;32,0;105,0;112,9;97,2;36,0;21,0;27,0;18,0;12,0;0,0;0,0;4,0;3,0;2,0;0,0;2,0;0,0;0,0;1,0;1,0;0,0;2,0;4,0;0,0;10,49;7,0;8,0;1,0;6,0;5,0;133,3;50,0;27,0;29,0;18,0;38,0;95,9;35,5;2,3;1,4;1,7;1,1;0,9;0,0;0,0;21,0;5,5;4,5;4,5;2,5;5,0;;88.7%;86.6%;92.2%;83.7%;72.6%;971,0;804,0;962,0;1079,0;842,0;33,0;23,0;33,0;21,0;25,0;2,1;1,5;2,1;1,3;1,9;8,0;8,0;1,0;7,0;5,0;69,0;44,0;60,0;39,0;37,0;4,3;2,9;3,8;2,4;2,8;34,1;33 1/2;37,4;Chris Wormley;David Onyemata;Kendall Reyes;Henry Anderson;Tyeler Davison;Nebraska;1.02;2010;10 1/4;76;Tampa Bay Buccaneers
282;Neville Gallimore;DL;304 lbs;5,01;7,97;4,79;12,98;103,8;23,0;112,0;107,0;;;;;;14,0;;;;;1,0;;;;;0,0;;;;;0,0;9,83;;;;;2,0;101,4;;;;;0,0;115,5;30,0;;;;;1,6;;;0,0;;;;;0,0;;;;;;45.2%;;;;;586,0;;;;;8,0;;;;;0,9;;;;;2,0;;;;;22,0;;;;;2,4;24,0;32 3/4;39,0;Da'Shawn Hand;Quinnen Williams;Roy Miller;Ziggy Hood;Bilal Nichols;Oklahoma;3.18;2020;9 5/8;74;Dallas Cowboys
283;Nick Fairley;DL;291 lbs;4,56;7,14;4,84;11,7;;;113,0;109,2;107,5;17,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,4;4,0;0,0;;;;;54,0;0,0;;;;106,1;31,0;1,1;;;;;;;;6,5;0,0;;;;;71.1%;;;;;680,0;0,0;;;;26,0;0,0;;;;1,7;;;;;4,0;0,0;;;;43,0;0,0;;;;2,9;;;;;33,0;34 3/4;35,4;Gerald McCoy;Derek Wolfe;Chris Wormley;Christian Covington;Xavier Cooper;Auburn;1.13;2011;9 3/4;76;
284;Nick Williams;DL;309 lbs;4,65;7,55;4,94;12,2;103,3;28,0;111,0;111,6;;1,0;0,0;1,0;18,0;10,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;10,32;0,0;0,0;0,0;0,0;1,0;118,6;0,0;0,0;0,0;34,0;9,0;103,8;33,0;0,3;;1,0;1,3;1,0;0,0;49,0;69,0;0,0;0,0;0,0;6,0;1,0;;15.1%;;36.6%;55.2%;59.8%;43,0;0,0;82,0;922,0;649,0;6,0;0,0;1,0;22,0;10,0;1,5;;1,0;1,6;1,0;0,0;0,0;1,0;1,0;1,0;7,0;0,0;2,0;40,0;20,0;1,8;;2,0;2,9;2,0;31,0;34 1/6;36,6;Larry Ogunjobi;Patrick Ricard;Pasoni Tasini;Ra'Shede Hageman;Kendall Reyes;Samford;7.17;2013;10 1/4;77;Detroit Lions
285;Nile Lawrence-Stample;DL;320 lbs;4,79;7,81;5,18;12,6;102,1;24,0;101,0;96,4;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,66;0,0;0,0;;;;96,9;0,0;0,0;;;;88,9;27,0;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;28,6;32 3/4;42,2;Pat Sims;Arthur Jones;Michael Pierce;Justin Hamilton;D.J. Jones;Florida State;Undrafted;2016;9 7/8;73;
286;Niles Scott;DL;326 lbs;4,85;7,75;5,26;12,6;105,1;29,0;101,0;102,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,3;32 1/8;43,0;Vernon Butler;Vincent Valentine;Phil Taylor;Dan Williams;D.J. Reader;Frostburg State;Undrafted;2018;10    ;73;
287;Olive Sagapolu;DL;324 lbs;4,74;7,91;;12,65;;;102,0;101,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,0;32 7/8;41,6;Justin Hamilton;Deon Simon;Cam Thomas;D.J. Jones;Kenny Clark;Wisconsin;Undrafted;2019;10 3/8;74;Detroit Lions
288;Olsen Pierre;DL;293 lbs;4,69;7,35;5,23;12,04;94,4;20,0;103,0;100,0;;0,0;9,0;5,0;2,0;;0,0;0,0;0,0;0,0;;0,0;1,0;0,0;0,0;;0,0;0,0;0,0;0,0;;10,04;0,0;6,0;1,0;1,0;;88,6;0,0;59,0;0,0;20,0;;78,3;28,5;;0,7;0,6;0,3;;0,0;0,0;;0,0;5,5;0,0;2,0;;;;42.7%;41.6%;30.9%;;0,0;340,0;536,0;404,0;;0,0;20,0;7,0;6,0;;;1,5;0,9;1,0;;0,0;6,0;1,0;1,0;;0,0;29,0;12,0;8,0;;;2,2;1,5;1,3;;29,4;34 5/8;35,7;Kaleb Eulls;Tanzel Smart;Ryan Glasgow;Jamie Meder;Dalvin Tomlinson;Miami;Undrafted;2015;10 3/8;76;
289;Omarius Bryant;DL;315 lbs;5,18;8,65;5,33;13,83;91,5;23,0;99,0;87,8;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,18;0,0;0,0;;;;80,5;0,0;0,0;;;;78,1;22,5;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;26,3;33 1/2;39,4;Ondre Pipkins;Xavier Williams;Paul Boyette;Richard Ash;Brian Price;Western Kentucky;Undrafted;2017;9    ;75;
290;Ondre Pipkins;DL;307 lbs;5,03;8,17;5,22;13,2;94,9;22,0;99,0;96,3;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,59;0,0;0,0;;;;87,1;0,0;0,0;;;;82,7;27,5;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;26,9;33 3/8;38,4;Ahtyba Rubin;Paul Boyette;Adolphus Washington;Kyle Love;Woodrow Hamilton;Texas Tech;Undrafted;2017;9    ;75;
291;P.J. Hall;DL;308 lbs;4,77;7,92;4,78;12,69;115,9;36,0;116,0;122,6;;;;12,0;9,0;17,0;;;2,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;10,15;;;3,0;4,0;1,0;144,5;;;0,0;13,0;2,0;118,0;38,0;;;1,0;0,8;1,9;0,0;0,0;0,0;;;0,0;1,5;1,0;;;;62.9%;59.2%;49.5%;;;744,0;740,0;612,0;;;10,0;16,0;15,0;;;0,8;1,3;1,7;;;3,0;4,0;1,0;;;22,0;25,0;32,0;;;1,8;2,1;3,6;25,8;31 7/8;41,8;Javon Hargrave;Rakeem Nunez-Roches;Sen'Derrick Marks;Sheldon Rankins;Sam Houston State;2.25;2018;9 7/8;72;Houston Texans;
292;P.J. Johnson;DL;321 lbs;4,97;7,89;5,34;12,86;93,5;18,0;94,0;88,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,6;33 1/8;40,1;Joshua Frazier;Tim Settle;Omarius Bryant;Taylor Stallworth;Stevie Tu'ikolovatu;Arizona;7.15;2019;9 1/2;75;
293;Pasoni Tasini;DL;307 lbs;4,82;;5,11;;;33,0;111,0;108,2;;0,0;0,0;1,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;;0,0;0,0;0,0;;;119,7;0,0;0,0;0,0;;;90,1;31,0;;;1,0;;;0,0;;;0,0;0,0;0,0;;;;;;26.2%;;;0,0;0,0;61,0;;;0,0;0,0;0,0;;;;;0,0;;;0,0;0,0;0,0;;;0,0;0,0;1,0;;;;;1,0;;;27,7;31 3/4;38,4;Tenny Palepoi;Elijah Qualls;Darius Philon;Patrick Ricard;Mike Purcell;Utah;Undrafted;2017;9 1/2;75;
294;Pat Sims;DL;310 lbs;4,8;7,67;5,06;12,47;99,0;20,0;95,0;93,4;;24,0;18,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,79;5,0;3,0;;;;90,2;8,0;9,0;;;;94,6;27,0;1,7;2,0;;;;;;;1,5;0,5;;;;;39.5%;38.2%;;;;355,0;226,0;;;;13,0;7,0;;;;0,9;0,8;;;;5,0;3,0;;;;37,0;25,0;;;;2,6;2,8;;;;35,2;33 1/4;39,8;DeShawn Williams;Stacy McGee;Vincent Taylor;Nile Lawrence-Stample;Auburn;3.14;2008;10    ;74;;
295;Paul Anau;DL;250 lbs;4,91;7,78;4,99;12,69;93,9;27,0;114,0;113,1;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,02;0,0;0,0;;;;100,9;0,0;0,0;;;;80,6;33,0;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;27,3;33 1/8;31,2;Joby Saint Fleur;Vontarrius Dora;Stansly Maponga;Hau'oli Kikaha;Roy Robertson-Harris;Northern Arizona;Undrafted;2017;10 1/8;75;
296;Paul Boyette;DL;310 lbs;5,09;7,88;5,43;12,97;96,9;29,0;103,0;96,6;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,41;0,0;0,0;;;;96,8;0,0;0,0;;;;71,3;26,5;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;27,1;31 7/8;39,8;Kyle Love;Richard Ash;Woodrow Hamilton;Will Sutton;Brian Price;Texas;Undrafted;2017;9 1/8;74;
297;Paul Soliai;DL;344 lbs;4,69;7,66;5,1;12,35;;;103,0;101,7;;4,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;1,0;0,0;;;;10,01;1,0;0,0;;;;;0,0;0,0;;;;101,7;29,5;0,7;;;;;;;;0,0;0,0;;;;;19.0%;;;;;76,0;0,0;;;;4,0;0,0;;;;0,7;;;;;1,0;0,0;;;;8,0;0,0;;;;1,3;;;;;37,1;;41,9;Dontari Poe;Phil Taylor;B.J. Raji;Zach Kerr;A.J. Francis;Utah;4.09;2007;;76;
298;Phil Taylor;DL;334 lbs;4,77;7,75;5,21;12,52;104,4;31,0;100,0;100,2;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;9,9;0,0;0,0;;;;116,5;0,0;0,0;;;;90,7;29,5;;;;;;;;;0,0;0,0;;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;32,8;34    ;41,7;Cam Thomas;Margus Hunt;Grover Stewart;D.J. Reader;Jordan Phillips;Baylor;1.21;2011;10 3/4;75;
299;Poona Ford;DL;306 lbs;4,75;7,76;5,18;12,51;103,8;24,0;111,0;105,7;;;;11,0;13,0;16,0;;;0,0;1,0;0,0;;;0,0;0,0;1,0;;;0,0;1,0;0,0;9,74;;;3,0;5,0;5,0;98,6;;;0,0;5,0;14,0;85,0;29,5;;;1,4;0,9;1,2;0,0;0,0;0,0;;;0,0;0,5;2,0;;;;36.9%;54.1%;55.0%;;;490,0;922,0;919,0;;;11,0;18,0;20,0;;;1,4;1,3;1,5;;;3,0;5,0;7,0;;;22,0;31,0;36,0;;;2,8;2,2;2,8;25,2;32 3/4;41,5;Jarran Reed;Akeem Spence;Elijah Qualls;DeShawn Williams;Texas;Undrafted;2018;9 1/4;72;Seattle Seahawks;
300;Quinnen Williams;DL;303 lbs;;;4,83;;;;112,0;107,9;;;;;12,0;24,0;;;;1,0;3,0;;;;0,0;2,0;;;;1,0;0,0;;;;;6,0;8,0;;;;;16,0;53,0;111,3;30,5;;;;1,1;1,8;;50,0;70,0;;;;2,5;7,0;;;;;62.9%;63.7%;;;;727,0;868,0;;;;16,0;31,0;;;;1,5;2,4;;;;6,0;9,0;;;;28,0;55,0;;;;2,5;4,2;23,1;33 1/4;37,9;Leonard Williams;Larry Ogunjobi;Corey Peters;Christian Ringo;Nick Williams;Alabama;1.03;2019;9 5/8;75;New York Jets
301;Quinton Jefferson;DL;291 lbs;4,37;7,95;4,95;12,32;;24,0;;;;1,0;2,0;9,0;12,0;11,0;0,0;0,0;2,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;10,06;0,0;0,0;3,0;3,0;1,0;110,1;0,0;8,0;33,0;20,0;11,0;96,9;29,0;1,0;0,3;0,6;1,0;0,9;0,0;0,0;0,0;0,0;1,0;3,0;3,0;2,0;;13.2%;33.5%;58.3%;70.5%;50.3%;7,0;131,0;899,0;757,0;769,0;0,0;6,0;15,0;13,0;9,0;0,0;1,0;1,0;1,1;0,8;0,0;0,0;3,0;3,0;1,0;1,0;8,0;24,0;25,0;20,0;1,0;1,3;1,6;2,1;1,7;27,8;33 3/8;36,4;Christian Tupou;Kelcy Quarles;Garrison Smith;Brandon Dunn;Chas Alecxih;Maryland;5.08;2016;8 7/8;75;Buffalo Bills
302;R.J. Mcintosh;DL;286 lbs;5,09;7,78;5,17;12,87;91,3;26,0;99,0;95,4;;;;2,0;9,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;9,76;;;0,0;2,0;;90,8;;;0,0;11,0;;80,1;27,0;;;0,7;1,1;;0,0;0,0;;;;0,0;2,0;;;;;21.2%;18.9%;;;;203,0;518,0;;;;3,0;3,0;;;;1,0;0,4;;;;0,0;2,0;;;;5,0;12,0;;;;1,7;1,5;;24,7;33 7/8;33,9;Ricky Jean-Francois;Winston Craig;Joey Ivie;Chas Alecxih;Shakir Soto;Miami;5.02;2018;9 3/8;77;New York Giants
303;Ra'Shede Hageman;DL;310 lbs;4,5;7,87;5,02;12,37;103,1;32,0;113,0;116,9;;7,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,42;1,0;0,0;;;;132,3;21,0;0,0;;;;97,6;35,5;0,7;;;;;;;;2,0;0,0;;;;;31.4%;;;;;207,0;0,0;;;;10,0;0,0;;;;1,0;;;;;1,0;0,0;;;;17,0;0,0;;;;1,7;;;;;30,5;34 1/4;35,8;Al Woods;Nick Williams;David Onyemata;Ndamukong Suh;Akiem Hicks;Minnesota;2.05;2014;10 1/4;78;
304;Raekwon Davis;DL;311 lbs;4,86;7,95;5,12;12,81;95,9;24,0;111,0;103,1;;;;;;27,0;;;;;0,0;;;;;0,0;;;;;0,0;9,9;;;;;1,0;96,3;;;;;8,0;90,5;28,0;;;;;2,3;;;0,0;;;;;0,5;;;;;;48.1%;;;;;752,0;;;;;10,0;;;;;0,8;;;;;1,0;;;;;37,0;;;;;3,1;23,6;33 7/8;35,9;Deon Simon;Tony McDaniel;Quinton Dial;Star Lotulelei;Devon Still;Alabama;2.24;2020;11    ;78;Miami Dolphins
305;Raequan Williams;DL;308 lbs;4,78;7,72;5,04;12,5;95,5;17,0;101,0;93,9;;;;;;1,0;;;;;0,0;;;;;0,0;;;;;0,0;9,82;;;;;0,0;83,8;;;;;0,0;95,5;25,5;;;;;1,0;;;71,0;;;;;0,0;;;;;;36.1%;;;;;61,0;;;;;2,0;;;;;2,0;;;;;0,0;;;;;3,0;;;;;3,0;24,0;33 3/8;37,5;Jarvis Jenkins;Pat Sims;Bennie Logan;Chris Jones;Gabe Wright;Michigan State;Undrafted;2020;9 3/8;76;
306;Rakeem Nunez-Roches;DL;307 lbs;4,69;7,67;5,02;12,36;106,0;26,0;114,0;114,8;;10,0;12,0;0,0;7,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;10,1;4,0;2,0;0,0;2,0;0,0;112,5;8,0;1,0;0,0;0,0;0,0;96,7;34,0;1,3;0,9;0,0;0,8;1,0;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;;41.8%;40.3%;29.2%;29.0%;45.5%;233,0;349,0;178,0;641,0;708,0;13,0;13,0;2,0;3,0;7,0;1,6;1,0;0,7;0,3;0,6;5,0;2,0;0,0;2,0;0,0;23,0;25,0;2,0;10,0;18,0;2,9;1,9;0,7;1,1;1,6;27,6;32 5/8;39,4;Larry Ogunjobi;Javon Hargrave;Destiny Vaeao;Al Woods;Mike Purcell;S. Mississippi;6.41;2015;10 1/8;74;Tampa Bay Buccaneers
307;Rashan Gary;DL;277 lbs;4,29;7,26;4,58;11,55;106,7;26,0;120,0;124,6;;;;;7,0;12,0;;;;0,0;1,0;;;;0,0;0,0;;;;1,0;0,0;10,83;;;;0,0;0,0;136,9;;;;13,0;36,0;125,9;38,0;;;;0,8;1,2;;0,0;0,0;;;;2,0;5,0;;;;;27.0%;40.6%;;;;592,0;604,0;;;;12,0;12,0;;;;1,3;1,2;;;;0,0;0,0;;;;19,0;24,0;;;;2,1;2,4;23,2;34 1/8;33,7;Tyquan Lewis;Ryan Russell;Rasheem Green;Jack Crawford;John Franklin-Myers;Michigan;1.12;2019;9 5/8;76;Green Bay Packers
308;Rashard Lawrence;DL;308 lbs;;8,03;5,07;;;22,0;;;;;;;;2,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;;0,0;;;;;;0,0;93,2;;;;;;0,7;;;0,0;;;;;0,0;;;;;;13.8%;;;;;217,0;;;;;3,0;;;;;1,0;;;;;0,0;;;;;5,0;;;;;1,7;22,3;34 1/8;39,5;Array;LSU;4.25;2020;11    ;74;Arizona Cardinals;;;;
309;Rasheem Green;DL;275 lbs;4,39;7,24;4,73;11,63;101,5;23,0;118,0;114,3;;;;3,0;14,0;2,0;;;0,0;2,0;0,0;;;0,0;4,0;0,0;;;0,0;1,0;0,0;10,5;;;0,0;2,0;0,0;115,6;;;6,0;19,0;9,0;109,9;32,5;;;0,4;1,0;0,4;0,0;0,0;0,0;;;1,0;4,0;1,0;;;;37.6%;55.6%;50.6%;;;425,0;905,0;328,0;;;6,0;13,0;4,0;;;0,9;0,9;0,8;;;0,0;3,0;0,0;;;9,0;27,0;6,0;;;1,3;1,9;1,2;23,7;33 3/4;33,5;Ryan Russell;Terrence Fede;Stephen Weatherly;Johnathan Calvin;Wes Horton;USC;3.15;2018;9 7/8;76;Seattle Seahawks
310;Ray Smith;DL;302 lbs;4,49;72,8;4,93;77,29;-55,1;27,0;119,0;119,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,0;31 1/2;39,8;Hassan Ridgeway;P.J. Hall;Javon Hargrave;Robert Nkemdiche;Jay Bromley;Boston College;Undrafted;2019;10 1/8;73;
